,NAIP Entity ID,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Entity ID
31,M_2708019_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°43'07.56""N","80°43'07.42""W","27°45'07.03""N","80°45'07.33""W","27°45'06.54""N","80°41'06.89""W","27°41'08.06""N","80°41'07.57""W","27°41'08.55""N","80°45'07.87""W",27.718766600000002,-80.7187277,27.7519527,-80.7520361,27.7518166,-80.68524709999998,27.6855721,-80.685436,27.685708299999998,-80.75218609999999,M_2708019_NW_17_060_20191215,2856113
32,M_2708019_SE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°39'22.51""N","80°39'22.43""W","27°41'22.13""N","80°41'22.21""W","27°41'21.54""N","80°37'21.91""W","27°37'22.86""N","80°37'22.72""W","27°37'23.46""N","80°41'22.88""W",27.6562527,-80.6562305,27.6894805,-80.6895027,27.6893166,-80.6227527,27.623016600000003,-80.6229777,27.6231832,-80.6896888,M_2708019_SE_17_060_20191215,2856114
33,M_2708019_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°39'22.53""N","80°43'07.56""W","27°41'22""N","80°45'07.40""W","27°41'21.52""N","80°41'07.10""W","27°37'23.03""N","80°41'07.78""W","27°37'23.52""N","80°45'07.94""W",27.656258299999998,-80.7187666,27.689444399999996,-80.75205550000001,27.689311,-80.6853055,27.623063800000004,-80.6854944,27.6231999,-80.7522055,M_2708019_SW_17_060_20191215,2856115
34,M_2708020_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°43'07.49""N","80°31'52.43""W","27°45'07.31""N","80°33'52.25""W","27°45'06.50""N","80°29'51.59""W","27°41'07.63""N","80°29'52.68""W","27°41'08.45""N","80°33'53.20""W",27.7187471,-80.5312304,27.7520305,-80.56451379999999,27.7518055,-80.4976638,27.6854527,-80.4979666,27.6856805,-80.5647777,M_2708020_NE_17_060_20191215,2856116
35,M_2708020_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°43'07.51""N","80°35'37.46""W","27°45'07.19""N","80°37'37.35""W","27°45'06.48""N","80°33'36.69""W","27°41'07.81""N","80°33'37.65""W","27°41'08.52""N","80°37'38.16""W",27.7187527,-80.5937388,27.7519972,-80.6270416,27.7518,-80.5601916,27.6855027,-80.5604583,27.6856999,-80.6272666,M_2708020_NW_17_060_20191215,2856117
36,M_2708020_SE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°39'22.46""N","80°31'52.41""W","27°41'22.29""N","80°33'52.27""W","27°41'21.47""N","80°29'51.53""W","27°37'22.61""N","80°29'52.62""W","27°37'23.42""N","80°33'53.21""W",27.656238800000004,-80.53122490000001,27.689524900000002,-80.5645194,27.6892971,-80.4976471,27.6229471,-80.49794990000001,27.6231721,-80.56478050000001,M_2708020_SE_17_060_20191215,2856118
37,M_2708020_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°39'22.49""N","80°35'37.42""W","27°41'22.16""N","80°37'37.24""W","27°41'21.46""N","80°33'36.72""W","27°37'22.79""N","80°33'37.67""W","27°37'23.49""N","80°37'38.05""W",27.6562472,-80.5937277,27.689488800000003,-80.627011,27.689294399999994,-80.5602,27.622997100000003,-80.5604638,27.623191600000002,-80.627236,M_2708020_SW_17_060_20191215,2856119
38,M_2708021_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°43'07.51""N","80°24'22.48""W","27°45'07.45""N","80°26'22.27""W","27°45'06.41""N","80°22'21.40""W","27°41'07.55""N","80°22'22.76""W","27°41'08.59""N","80°26'23.49""W",27.7187527,-80.4062444,27.752069399999996,-80.4395194,27.7517805,-80.37261099999999,27.6854305,-80.37298879999999,27.685719399999996,-80.4398583,M_2708021_NE_17_060_20191215,2856120
39,M_2708021_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°43'07.45""N","80°28'07.51""W","27°45'07.33""N","80°30'07.37""W","27°45'06.41""N","80°26'06.49""W","27°41'07.55""N","80°26'07.72""W","27°41'08.47""N","80°30'08.45""W",27.718736,-80.4687527,27.752036100000005,-80.5020472,27.7517805,-80.435136,27.6854305,-80.4354777,27.685685999999997,-80.5023472,M_2708021_NW_17_060_20191215,2856121
40,M_2708021_SE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°39'22.59""N","80°24'22.49""W","27°41'22.62""N","80°26'22.32""W","27°41'21.59""N","80°22'21.37""W","27°37'22.53""N","80°22'22.73""W","27°37'23.56""N","80°26'23.54""W",27.656275,-80.40624720000001,27.689616600000004,-80.4395333,27.6893305,-80.3726027,27.6229249,-80.3729804,27.623210999999998,-80.43987209999999,M_2708021_SE_17_060_20191215,2856122
